TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,,ID WMO,97692
01-01-2024,24,33,28.6,83,-,4.1,2,240,0,C,,Nama Stasiun,Stasiun Klimatologi Jayapura
02-01-2024,23.6,34,28.8,84,-,8.2,2,80,0,C,,Periode,01-01-2024 - 31-12-2024
03-01-2024,24,33.6,29.3,81,-,6.3,1,230,0,C,,Lintang,-259.231
04-01-2024,24,32.4,28.5,87,6,8,2,20,0,C,,Bujur,14.016.792
05-01-2024,24,32.7,29.2,86,2.5,5.5,2,260,0,C,,Elevasi,70 Meter
06-01-2024,24,32,28.4,88,-,6.5,2,220,0,C,,,
07-01-2024,24,32.1,28.5,83,1.8,4.5,2,110,0,C,,,
08-01-2024,24.2,32,28.5,87,10,5.8,0,70,0,C,,KETERANGAN:,
09-01-2024,24.8,30.4,28.1,85,8888,3.1,0,0,0,C,,8888: Data tidak terukur,
10-01-2024,24.6,33.2,28.8,81,0.4,0.3,3,30,0,C,,9999: Tidak Ada Data (tidak dilakukan pengukuran),
11-01-2024,23.2,33.2,29.5,79,-,7.2,1,220,0,C,,Tn: Temperatur minimum (°C),
12-01-2024,24.8,32,28.9,86,1.3,6,2,280,0,C,,Tx: Temperatur maksimum(°C),
13-01-2024,24,32,27.6,90,-,6.4,2,360,0,C,,Tavg: Temperatur rata-rata(°C),
14-01-2024,24.4,31.8,28.5,84,19,7.2,2,270,0,C,,RH_avg: Kelembapan rata-rata(%),
15-01-2024,24,30.4,27.6,87,2,5.1,1,240,0,C,,RR: Curah hujan(mm),
16-01-2024,23.4,30.4,26.3,94,5.3,3.4,2,280,0,C,,ss: Lamanya penyinaran matahari(jam),
17-01-2024,24.6,32,28.5,84,2,0,3,230,0,C,,ff_x: Kecepatan angin maksimum(m/s),
18-01-2024,24.4,30,27.7,89,26.5,3.3,0,0,0,C,,ddd_x: Arah angin saat kecepatan maksimum(°),
19-01-2024,24.8,32.2,29,82,8888,0.7,2,270,1,C,,ff_avg: Kecepatan angin rata-rata(m/s),
20-01-2024,24,29.2,25.9,94,36,5.8,0,0,0,C,,ddd_car: Arah angin terbanyak(°),
21-01-2024,24.9,31.6,28.5,85,6.9,0,2,160,0,C,,,
22-01-2024,25,30.5,28,85,4.6,4.2,2,340,0,C,,,
23-01-2024,24.9,28.9,26.6,91,21.8,4,4,360,1,C,,,
24-01-2024,24.5,30,26.3,91,1.2,0.1,4,280,1,C,,,
25-01-2024,23.7,29.8,27.6,88,55.8,1.6,3,320,0,C,,,
26-01-2024,24.7,30.9,28.4,86,27.5,0.8,3,230,1,C,,,
27-01-2024,25.2,29.9,27.4,92,3.3,4.5,2,40,0,C,,,
28-01-2024,24.2,32.8,28.8,82,4,0.3,2,110,0,C,,,
29-01-2024,24.9,32.8,26.4,92,-,4.4,1,210,0,C,,,
30-01-2024,24,32.9,29.7,81,16,0.5,2,280,0,C,,,
31-01-2024,24,31.4,28.4,85,-,6.5,2,210,0,C,,,
01-02-2024,24,31.4,28.4,83,1,3.5,5,330,1,C,,,
02-02-2024,23.4,31,28.4,82,2.5,8.8,3,30,0,C,,,
03-02-2024,23.2,32.8,28.7,82,-,4.5,2,310,0,C,,,
04-02-2024,23.9,33.1,29.8,81,-,8.1,2,340,0,C,,,
05-02-2024,24,32.4,29.3,80,-,10,1,10,0,C,,,
06-02-2024,24,30,27.1,90,-,5,0,250,0,C,,,
07-02-2024,24,30,27.1,88,102.3,2.6,1,280,0,C,,,
08-02-2024,24.1,31.2,28.4,86,3,1.5,4,290,1,C,,,
09-02-2024,24,31.2,28.3,90,42,4,1,230,0,C,,,
10-02-2024,23.4,31,27.9,88,9,7.1,2,220,0,C,,,
11-02-2024,23.8,32.1,28.5,83,12,2.5,3,290,1,C,,,
12-02-2024,24.2,31.2,28.6,82,-,4.8,2,260,0,C,,,
13-02-2024,23.6,32.8,29.5,76,-,4.8,3,320,1,C,,,
14-02-2024,24.8,30.8,27.9,84,1.4,8.2,2,50,0,C,,,
15-02-2024,24.8,30.6,27.7,85,0.5,2.5,3,260,0,C,,,
16-02-2024,24,31.5,28,86,36.7,2.1,4,300,1,C,,,
17-02-2024,24.6,32.4,28.9,80,-,4.5,3,340,1,C,,,
18-02-2024,24.7,32.1,29,84,-,7.7,1,30,0,C,,,
19-02-2024,24.8,31.4,28.7,83,10,9.5,3,350,1,C,,,
20-02-2024,24.8,29.6,26.9,91,1.8,3.5,2,260,0,C,,,
21-02-2024,24.4,29.6,27,91,1.2,0,0,0,0,C,,,
22-02-2024,24.3,30.2,27.4,90,0.5,0,2,230,0,C,,,
23-02-2024,24.4,28.5,24.6,94,8,1.3,2,250,1,C,,,
24-02-2024,22.5,30,27.6,84,10.5,0.3,1,120,0,C,,,
25-02-2024,24.8,33,29.1,82,-,0.1,2,330,0,C,,,
26-02-2024,22.6,32.8,29,82,10,9.8,2,250,0,C,,,
27-02-2024,22.4,30.2,27.7,87,5.8,7,0,0,0,C,,,
28-02-2024,22.4,33.2,28.2,84,-,0.7,2,250,0,C,,,
29-02-2024,22.4,33.2,27.3,87,8888,6.2,3,240,0,C,,,
01-03-2024,24,33.1,29.2,82,21,4,2,360,1,C,,,
02-03-2024,24.6,31.2,27.9,86,-,7.6,3,20,0,C,,,
03-03-2024,24.1,30.4,27.8,88,45,4,1,320,0,C,,,
04-03-2024,24.2,31.8,27.9,89,1.5,1,3,310,0,C,,,
05-03-2024,24.4,31.8,28.4,87,13,4.6,0,0,0,C,,,
06-03-2024,24.4,32.8,28.7,83,11,6.5,3,270,1,C,,,
07-03-2024,24,32.4,28.9,80,-,7.7,0,250,0,C,,,
08-03-2024,24.2,30,26.8,91,95.8,6.2,3,330,0,C,,,
09-03-2024,23.6,32.1,28.6,81,2,0.1,3,280,1,C,,,
10-03-2024,24,30.4,27.5,87,10.4,9.1,2,270,1,C,,,
11-03-2024,24,31,28.2,85,0.9,3,3,240,1,C,,,
12-03-2024,24,29.6,26.4,91,12.1,7.3,2,240,0,C,,,
13-03-2024,24,30.6,28.1,86,3,0.1,2,310,0,C,,,
14-03-2024,24,31.2,27.9,87,4.3,1.3,1,310,0,C,,,
15-03-2024,24.2,31.1,28.6,83,14.1,1.3,4,360,1,C,,,
16-03-2024,24.4,31.5,28.7,82,0.5,4.2,6,360,1,C,,,
17-03-2024,25.2,30,26.9,90,86.6,4.8,1,310,0,C,,,
18-03-2024,24,31.9,28.7,84,0.2,0.1,2,300,0,C,,,
19-03-2024,25.4,32.4,28.5,85,4.8,2.5,4,240,1,C,,,
20-03-2024,23,29.8,26.7,87,99.4,4.2,2,270,0,C,,,
21-03-2024,23.2,31.6,28.7,81,4.5,0,2,270,0,C,,,
22-03-2024,25.4,30,28.2,86,-,1.5,2,290,1,C,,,
23-03-2024,24.9,31.6,27.7,88,3.1,0,3,230,0,C,,,
24-03-2024,24.6,33.1,28.8,88,4,0,0,170,0,C,,,
25-03-2024,24,34.8,30.6,75,3.5,6.6,4,40,1,C,,,
26-03-2024,24.5,34.7,29.9,77,-,8.6,4,20,2,C,,,
27-03-2024,24.5,31.5,28.4,85,-,8.6,3,20,1,C,,,
28-03-2024,24.2,38.7,29.4,83,17.3,6,3,200,0,C,,,
29-03-2024,24.6,31,28.1,89,7.5,6.5,2,30,0,C,,,
30-03-2024,24.1,33.2,28.2,85,-,1.5,3,20,1,C,,,
31-03-2024,24.5,31.6,28.7,83,32,6.4,3,270,0,C,,,
01-04-2024,24.2,32.4,28.7,87,-,5.6,2,30,1,C,,,
02-04-2024,23.7,34.5,29.5,80,11.5,4.5,4,20,1,C,,,
03-04-2024,23.9,33.4,27.9,86,-,8.5,4,230,0,C,,,
04-04-2024,24.2,31.8,27.6,89,34,6,0,0,0,C,,,
05-04-2024,24.3,32.2,29.7,82,30.1,3.6,2,20,1,C,,,
06-04-2024,24.9,32,27.9,89,0.5,6.8,3,300,0,C,,,
07-04-2024,24,32.1,29.1,84,7.2,4,3,340,1,C,,,
08-04-2024,24.2,31,27.3,90,0.5,9,0,110,0,C,,,
09-04-2024,23.5,28.2,26.4,93,128,1,1,260,0,C,,,
10-04-2024,24.5,31,28.3,86,43.6,0,2,330,1,C,,,
11-04-2024,24.7,31.8,28.1,88,8,3.6,1,320,0,C,,,
12-04-2024,24.9,32.5,29.1,82,14,4.6,2,160,1,C,,,
13-04-2024,24.9,32.4,29.2,82,9.6,7.5,3,40,1,C,,,
14-04-2024,25.4,32.3,27.9,85,1,5.3,2,330,1,C,,,
15-04-2024,24.1,32.6,27.6,89,49.7,5.6,2,190,0,C,,,
16-04-2024,24.7,32,28.4,89,1.1,4.2,2,10,0,C,,,
17-04-2024,25,29.2,27,88,2,4.5,0,0,0,C,,,
18-04-2024,24.2,31.2,28.2,87,3.5,1.3,1,320,0,C,,,
19-04-2024,24.6,32.5,28.9,83,1.5,4.2,4,40,1,C,,,
20-04-2024,23.9,32.7,29.2,83,5.4,6.7,2,10,0,C,,,
21-04-2024,24,34,30.2,80,-,8.2,2,100,0,C,,,
22-04-2024,24.6,33.7,30.2,78,-,8.7,4,60,0,C,,,
23-04-2024,24.4,35,30.9,79,-,7.5,3,50,1,C,,,
24-04-2024,25.7,34.4,30.8,78,0,9.5,3,10,0,C,,,
25-04-2024,25,33.9,30.4,79,-,8.4,2,160,0,C,,,
26-04-2024,24.9,34.4,30.2,79,-,6.2,3,80,1,C,,,
27-04-2024,25.4,34,30.5,82,-,6.7,3,60,1,C,,,
28-04-2024,25,33,29.2,82,-,7,2,50,0,C,,,
29-04-2024,24.9,33,28.6,85,8888,6,2,350,1,C,,,
30-04-2024,24.1,32.9,27.8,89,1.5,4,3,290,1,C,,,
01-05-2024,23.4,34,29.4,82,3,5.1,2,250,1,C,,,
02-05-2024,24.2,30.3,26.3,90,20.5,8.6,0,0,0,C,,,
03-05-2024,23.7,32.1,29.3,82,71.4,0,1,10,0,C,,,
04-05-2024,24,33.2,29.1,84,1,3.3,2,20,0,C,,,
05-05-2024,23.8,31.3,28,87,17.9,6.6,2,250,0,C,,,
06-05-2024,24.4,32.5,28.6,86,8888,1.8,2,160,0,C,,,
07-05-2024,25,32,28.5,86,16,0.9,2,300,1,C,,,
08-05-2024,25,29.6,25.7,94,0.3,4.6,0,0,0,C,,,
09-05-2024,23.9,30,26.6,94,1.9,0,0,0,0,C,,,
10-05-2024,24.7,27,25,97,0.9,0,0,0,0,C,,,
11-05-2024,23,30.7,28,85,39,0.1,2,340,0,C,,,
12-05-2024,24,32.8,29.2,84,0.2,0,2,260,0,C,,,
13-05-2024,23,31.1,28.2,86,-,7.4,3,210,0,C,,,
14-05-2024,23.4,31.4,27.5,88,5,3.7,2,10,0,C,,,
15-05-2024,23.6,32.4,28.7,86,10.4,0.8,3,290,0,C,,,
16-05-2024,21,30.9,29,86,6,7,2,10,0,C,,,
17-05-2024,24,33.5,29.1,82,1.5,0,2,20,1,C,,,
18-05-2024,25,33,29.2,82,7.2,6.5,3,340,1,C,,,
19-05-2024,24.9,32.6,29.3,81,1.5,7,3,240,0,C,,,
20-05-2024,24.4,33.3,29.4,82,2,5.1,3,10,1,C,,,
21-05-2024,25.5,32.6,28.7,87,11.8,8.8,0,0,0,C,,,
22-05-2024,25.8,34.5,30.1,79,-,3.2,3,330,0,C,,,
23-05-2024,26.3,30,26.8,92,1,8.6,1,140,0,C,,,
24-05-2024,23.6,32.3,29.3,82,10.5,0.1,3,90,1,C,,,
25-05-2024,23.8,35,29.8,76,-,4.3,4,90,2,NE,,,
26-05-2024,24.4,32,28.5,84,-,8.6,3,50,1,C,,,
27-05-2024,24,34.2,29.2,79,-,2.4,3,10,1,C,,,
28-05-2024,23,34.2,30.2,76,-,7.6,3,60,1,C,,,
29-05-2024,23.2,33,28.7,82,-,8,3,80,1,C,,,
30-05-2024,25,32.9,29.5,79,-,6.8,4,50,1,C,,,
31-05-2024,24.3,31,28.2,86,8888,6.6,4,300,1,C,,,
01-06-2024,23.5,33.1,28.9,82,3.2,4.4,3,60,1,C,,,
02-06-2024,24.2,33.2,29.6,81,1,7.5,2,10,0,C,,,
03-06-2024,24.7,30.4,26.4,93,4,8,2,70,0,C,,,
04-06-2024,24.4,32,28.5,85,7,0.9,2,330,1,C,,,
05-06-2024,23.4,33.5,29.9,81,-,3,3,60,1,C,,,
06-06-2024,24.9,31,27.8,86,3.5,7.9,2,350,1,C,,,
07-06-2024,23.4,32.8,27.9,86,1,7.5,4,200,1,C,,,
08-06-2024,23.9,33.3,29.3,80,4,4,3,50,1,NE,,,
09-06-2024,24.7,34.2,30.5,79,8888,7.5,2,50,1,C,,,
10-06-2024,24.8,33.4,28.7,83,-,9.2,2,10,0,C,,,
11-06-2024,24.6,33.4,29,82,-,7.4,4,60,1,C,,,
12-06-2024,24,33.4,27.3,89,-,5.4,2,310,0,C,,,
13-06-2024,24.4,27.9,26,91,11.6,4.1,2,70,0,C,,,
14-06-2024,23.1,32.5,28.9,79,1,0,3,360,1,C,,,
15-06-2024,23.8,33,28.9,80,-,8.6,3,360,1,C,,,
16-06-2024,24,33.1,28.6,82,5,5.8,3,300,1,C,,,
17-06-2024,24,31.6,28.1,87,-,8.6,2,180,1,C,,,
18-06-2024,24.4,32.2,28.6,83,5,3.1,2,50,0,C,,,
19-06-2024,23.9,30.6,27.2,87,-,3.8,1,40,0,C,,,
20-06-2024,22.8,28.6,26.2,89,0.2,1,1,110,0,C,,,
21-06-2024,22.6,32.6,28.9,81,2,0,3,10,1,C,,,
22-06-2024,22.5,33.2,28.8,81,-,6.9,3,90,1,C,,,
23-06-2024,23.6,33.8,29.1,79,-,5.5,2,70,0,C,,,
24-06-2024,23.6,37.3,27.9,84,4.5,8.5,2,50,0,C,,,
25-06-2024,23.9,33.6,29.3,80,1.9,1.4,2,120,0,C,,,
26-06-2024,24,34.6,29.8,77,-,5,2,50,0,C,,,
27-06-2024,23.4,34.6,28,85,-,8.5,2,110,0,C,,,
28-06-2024,23,33.4,28.2,82,8888,3,3,40,1,C,,,
29-06-2024,23,33.4,28.8,81,-,4.6,2,50,1,C,,,
30-06-2024,23.2,29.8,27.1,88,-,4,0,0,0,C,,,
01-07-2024,23.4,32.6,28.6,80,4.3,0,2,50,0,C,,,
02-07-2024,23.1,36.4,28.4,80,-,6.8,5,10,1,C,,,
03-07-2024,23.5,32,28.9,77,-,3.7,2,90,1,C,,,
04-07-2024,23.3,32.5,28.6,80,-,5.5,3,40,0,C,,,
05-07-2024,23.9,32.5,27.6,86,4.2,6.8,3,10,0,C,,,
06-07-2024,23.2,31.6,28.7,74,1.3,3.6,4,50,1,C,,,
07-07-2024,24.7,31.7,28.5,77,-,6,2,60,1,C,,,
08-07-2024,-,30.5,-,-,-,-,3,10,1,C,,,
09-07-2024,24.1,32,27.8,83,8888,5.7,1,2,0,C,,,
10-07-2024,23.2,33.8,27.1,84,0,3.6,3,200,0,C,,,
11-07-2024,23.8,33.8,27.8,85,0.5,7.3,2,250,1,C,,,
12-07-2024,24.5,30.2,26.4,91,1.5,5.6,1,243,0,C,,,
13-07-2024,23.7,32.2,27.4,84,8888,2.1,3,10,1,C,,,
14-07-2024,24.7,30.2,26,92,0,8,0,0,0,C,,,
15-07-2024,23,31,27.9,84,8888,0,2,55,0,C,,,
16-07-2024,23.6,29.2,26.3,89,8888,4.8,4,112,0,C,,,
17-07-2024,24,32.6,27,85,8888,0,3,17,0,C,,,
18-07-2024,22.2,33,27.5,83,0,7.9,4,260,1,C,,,
19-07-2024,24,32.4,27.3,86,0,7,3,360,1,C,,,
20-07-2024,23,30.8,26.4,89,0,3.3,3,60,1,C,,,
21-07-2024,24.4,31.8,27.4,85,8888,1.5,2,40,1,C,,,
22-07-2024,23.9,30.3,26.9,85,1.5,3,1,10,0,C,,,
23-07-2024,23.4,29.4,25.8,93,2,3,2,180,0,C,,,
24-07-2024,23.2,27.4,25.2,94,20,0.8,3,110,1,C,,,
25-07-2024,23.3,29,25.4,93,8888,0,2,300,0,C,,,
26-07-2024,23.8,33.6,27.5,87,12,2.5,3,30,1,C,,,
27-07-2024,24.6,31,26.9,89,1,8,1,120,0,C,,,
28-07-2024,24.2,33.4,27.7,80,1,0.3,5,50,1,C,,,
29-07-2024,23.8,33.2,27.8,84,0,8,3,20,0,C,,,
30-07-2024,23.4,33,27.8,85,0,6.2,2,40,1,C,,,
31-07-2024,23.1,33.2,28.4,79,5,7.2,3,50,1,C,,,
01/08/2024,23.6,34,27.7,82,0,8,3,50,1,C,,,
02-08-2024,23.3,34.2,27.8,81,0,6.8,4,150,1,C,,,
03-08-2024,24.6,34,28.7,77,0,8,3,80,1,C,,,
04-08-2024,23.2,33.8,26.4,88,0,8,3,120,0,C,,,
05-08-2024,22.4,34.8,27,82,8888,2.3,3,70,1,C,,,
06-08-2024,23,35.2,28.6,79,0,4.8,3,50,1,NE,,,
07-08-2024,23,31.2,26.3,89,0,8,3,120,1,C,,,
08-08-2024,23.3,32.8,27.6,83,8888,2,4,50,2,E,,,
09-08-2024,23.8,33.6,27.6,84,0,6,3,230,1,C,,,
10-08-2024,24.4,33.2,27.7,82,0,7.9,3,40,1,C,,,
11-08-2024,23,31.8,26.9,86,0.1,6.5,2,320,1,C,,,
12-08-2024,23.2,34.2,28.2,81,0,4,3,360,1,C,,,
13-08-2024,24.2,33.4,28,85,0,8,3,80,1,C,,,
14-08-2024,23,33,26.3,87,0,8,2,70,1,C,,,
15-08-2024,24,33.2,27.1,86,0.4,6.4,3,59,1,C,,,
16-08-2024,24.1,33.8,27.6,79,1.1,5.2,4,60,1,C,,,
17-08-2024,23.4,32.6,27.9,82,0,7.6,3,60,1,C,,,
18-08-2024,23.4,32.8,27.2,86,7,7.6,2,76,1,C,,,
19-08-2024,23.4,32.6,26.6,88,0,3.9,2,230,1,C,,,
20-08-2024,23.7,28.8,25.9,90,1,5.3,3,50,1,C,,,
21-08-2024,23,33.5,28.4,79,0.2,0.5,3,50,1,NE,,,
22-08-2024,23.8,33,27.9,82,0,8,4,120,1,C,,,
23-08-2024,23.6,34.6,28.5,79,0,5.9,2,70,1,C,,,
24-08-2024,24,34.4,28.8,72,0,8,3,173,1,C,,,
25-08-2024,23.2,33,26.9,83,8888,8,3,220,1,C,,,
26-08-2024,24,31.9,26.9,85,8888,3.3,3,10,1,C,,,
27-08-2024,24,32,27.3,84,8888,3.7,3,50,1,C,,,
28-08-2024,23.6,33,27.5,87,0,4.9,2,330,0,C,,,
29-08-2024,23.2,33,26.7,89,18.5,7,3,50,1,C,,,
30-08-2024,23,33,26.8,89,0,8,3,10,1,C,,,
31-08-2024,24.2,31.2,27,88,21.4,5.8,3,79,1,C,,,
01-09-2024,24,33.2,28.4,83,1,2.4,5,100,1,C,,,
02-09-2024,23.6,31,26.7,87,2.5,7.5,2,68,1,C,,,
03-09-2024,24.4,33.8,26.3,90,0.6,1.6,2,220,1,C,,,
04-09-2024,23.2,25.8,26,90,19,3.9,3,170,1,C,,,
05-09-2024,24,31.7,27.7,84,69.6,5.8,3,70,1,C,,,
06-09-2024,24.2,32.4,28.1,84,0,4.4,5,110,2,C,,,
07-09-2024,24.2,33.4,27.8,83,0.5,5.4,3,73,1,C,,,
08-09-2024,24.5,32,27.2,87,0,7.2,3,60,1,C,,,
09-09-2024,23.9,31,27.1,85,27.4,4.4,2,340,0,C,,,
10-09-2024,23.8,32,27.6,86,8888,2.6,3,50,0,C,,,
11-09-2024,24.6,32.8,27.7,85,2,5.8,2,180,1,C,,,
12-09-2024,24,34,28.8,81,10.4,5.5,4,10,1,C,,,
13-09-2024,24.8,31.6,27.6,87,0.7,7,3,38,1,C,,,
14-09-2024,25.6,26,28.3,85,0,0,2,261,0,C,,,
15-09-2024,24.8,34.4,28.6,81,8888,2.2,4,48,1,C,,,
16-09-2024,24.8,34,28.4,77,0,4.5,5,70,1,C,,,
17-09-2024,25.5,34.6,28.7,83,0,6.3,4,60,2,C,,,
18-09-2024,23.4,33.2,28.1,82,24.4,6.8,3,80,1,C,,,
19-09-2024,23.7,32.2,26.7,88,8888,6.4,2,300,0,C,,,
20-09-2024,23,27.2,29,79,1.4,2.2,3,20,1,C,,,
21-09-2024,24,32.4,27.6,85,0,8,3,290,1,C,,,
22-09-2024,24.6,34.2,28.6,81,0,8,3,90,1,C,,,
23-09-2024,24.6,34.2,28.4,83,0,8,2,200,1,C,,,
24-09-2024,24.2,33.6,27.7,85,0,7.5,3,180,1,C,,,
25-09-2024,24.8,24.8,25.1,95,1.8,6.7,3,180,0,C,,,
26-09-2024,23,33.4,28.3,83,26.5,0.2,2,60,1,C,,,
27-09-2024,23.4,30.8,25.7,92,0,8,2,325,0,C,,,
28-09-2024,23.2,33.4,27.2,85,0,2.3,3,20,1,C,,,
29-09-2024,24.2,33.7,28.2,85,1.1,7.5,4,30,1,C,,,
30-09-2024,23.3,24.4,27.1,84,0,8,3,50,1,C,,,
01-10-2024,23.4,35,29.8,74,0,4.9,5,100,2,E,,,
02-10-2024,25,34,28.1,83,0.8,8,4,40,1,C,,,
03-10-2024,24,33.3,27.7,87,0,6.1,3,31,1,C,,,
04-10-2024,24,32,27,89,0,6.4,8,200,1,C,,,
05-10-2024,23.8,31.2,26.3,89,24.7,5,2,330,0,C,,,
06-10-2024,23,32.4,26.3,87,2.7,3.7,5,140,1,C,,,
07-10-2024,24,33.8,28.9,77,0,4.8,3,120,1,C,,,
08-10-2024,22.5,34.6,28.5,82,0,6.5,3,6,1,C,,,
09-10-2024,23,32,26.9,84,0,8,3,60,1,C,,,
10-10-2024,23,33.4,29,76,0,2.4,2,10,1,C,,,
11-10-2024,23,33.6,28.8,86,0,5.4,3,244,1,C,,,
12-10-2024,24,34.6,29.1,80,0,7.8,3,30,1,C,,,
13-10-2024,24.6,33.2,25.9,94,2.9,7.6,4,240,1,C,,,
14-10-2024,24.6,31.4,25.8,94,37.5,3.5,2,102,0,C,,,
15-10-2024,23.8,33.4,27.8,84,3.1,3.1,3,60,0,C,,,
16-10-2024,25.2,31,26.1,94,8888,5.2,3,250,1,C,,,
17-10-2024,23.1,32.1,26.6,89,8.4,2.2,2,60,0,C,,,
18-10-2024,23,32.8,27,91,0.8,5.4,3,218,1,C,,,
19-10-2024,23.4,30,26.6,86,21,5.7,1,140,0,C,,,
20-10-2024,24,33,28.5,83,8888,1.9,3,34,1,C,,,
21-10-2024,24,31.4,27.1,87,8888,7.9,3,81,1,C,,,
22-10-2024,24.2,29.2,26.8,90,0,1.5,3,10,0,C,,,
23-10-2024,24.4,27.6,25.3,96,1.9,0,21,60,2,C,,,
24-10-2024,23,26.8,24.6,93,20.8,0,2,80,0,C,,,
25-10-2024,21,32.6,29,84,1,0,2,20,0,C,,,
26-10-2024,24.2,33.2,27.7,87,0,6.4,3,93,1,N,,,
27-10-2024,23.2,29.5,25.2,88,13.5,4.2,3,120,1,C,,,
28-10-2024,22.8,31,26.7,84,0.5,3.2,3,10,1,NE,,,
29-10-2024,23.4,32.8,27.4,80,1,0.6,3,60,1,C,,,
30-10-2024,22.2,34.2,28.3,85,0,3.5,2,100,1,C,,,
31-10-2024,23.4,33.6,27.1,86,0,8,2,239,0,C,,,
01-11-2024,23,33,27.5,84,22.5,5.5,3,49,1,C,,,
02-11-2024,23.8,29.2,25.3,91,1.6,8,5,84,1,C,,,
03-11-2024,22.2,32.6,26.7,88,1.8,0,2,250,1,C,,,
04-11-2024,23,32,27.1,84,0,5.8,2,320,1,C,,,
05-11-2024,23.4,32.4,26.9,86,0.5,5.4,3,80,1,C,,,
06-11-2024,22.4,33,27.7,86,65,6.6,2,210,0,C,,,
07-11-2024,23,32.2,27.2,86,1,8,2,280,1,C,,,
08-11-2024,24.2,34,28,86,7,6,3,40,1,C,,,
09-11-2024,23.6,31.4,26.2,90,17.5,5.9,5,10,0,C,,,
10-11-2024,23.2,33,28.1,84,0.8,4.7,15,50,1,C,,,
11-11-2024,24.6,32.4,26.7,87,2,7.5,3,219,1,C,,,
12-11-2024,23.8,32,26.8,89,2.3,4.1,3,120,0,C,,,
13-11-2024,23.6,33.8,27.9,85,5.9,1,2,360,1,C,,,
14-11-2024,23,32.8,27.9,85,0,8,2,50,1,C,,,
15-11-2024,23,33,28.6,82,0,5.6,2,140,0,C,,,
16-11-2024,21.8,34.4,29.7,74,0,6.6,3,57,1,C,,,
17-11-2024,21.4,34.6,29.5,78,0,7.4,3,140,1,C,,,
18-11-2024,24,34.6,28.5,91,0,8,3,240,1,C,,,
19-11-2024,23,32.2,27.3,86,0,8,2,200,0,C,,,
20-11-2024,23.8,34.2,28.7,80,0,4.3,4,60,1,C,,,
21-11-2024,24.1,33.2,28.7,82,0,7.5,3,42,1,C,,,
22-11-2024,23.2,33,28.8,83,0,4.7,2,62,0,C,,,
23-11-2024,23.6,32,27.8,88,0,5.8,4,110,1,C,,,
24-11-2024,23.6,33.9,27.9,85,0,1.3,2,60,1,C,,,
25-11-2024,24.3,33.6,27.7,87,8888,5.8,3,100,1,C,,,
26-11-2024,24.4,31,26.7,89,4.3,3.5,3,20,0,C,,,
27-11-2024,23,33.2,27.8,86,11,3.6,3,60,1,C,,,
28-11-2024,25.6,31.4,28,86,0.8,3.9,4,150,1,C,,,
29-11-2024,24,34.6,28.5,83,0,2.4,3,50,1,C,,,
30-11-2024,23.5,33.4,27,88,0,7.3,4,60,1,C,,,
01-12-2024,23.1,33.2,27.7,86,36,3.3,4,280,1,C,,,
02-12-2024,24,32.4,28.5,83,0,8,1,220,0,C,,,
03-12-2024,24.3,32.2,28.4,82,0.7,8,3,290,1,C,,,
04-12-2024,24.9,30.4,26.5,91,0,3.5,2,340,0,C,,,
05-12-2024,23.8,33.6,27.7,85,15.8,1,3,60,0,C,,,
06-12-2024,24.2,31.1,26.8,92,0,7.4,5,310,1,C,,,
07-12-2024,24.4,34,27.9,84,15,2.2,2,52,1,C,,,
08-12-2024,24.4,30.6,26.7,90,1,7,2,50,1,C,,,
09-12-2024,24.4,32.2,27.1,88,0.4,0.2,2,7,1,C,,,
10-12-2024,24.4,31,26.7,93,1.7,3.3,2,30,1,C,,,
11-12-2024,23.6,33,27.4,88,4,1.1,3,240,1,C,,,
12-12-2024,25.4,32,27.8,88,0,6.6,4,240,1,C,,,
13-12-2024,24,28.8,25.6,95,64.9,6.2,2,280,0,C,,,
14-12-2024,23,32,27.2,87,4.9,0,1,237,0,C,,,
15-12-2024,25,31.8,27.9,86,0,7.1,4,18,1,C,,,
16-12-2024,24.8,31,27.2,89,12.5,3.3,2,240,1,C,,,
17-12-2024,25.2,30,26.7,90,0.9,3.7,2,207,1,C,,,
18-12-2024,24.8,26.4,25.4,97,48.6,0.4,0,0,0,C,,,
19-12-2024,22,31,26.9,88,12.8,0,5,340,1,C,,,
20-12-2024,24.5,32.7,28,84,0,7.5,2,320,0,C,,,
21-12-2024,23.8,33,27.7,88,8888,8,4,20,1,C,,,
22-12-2024,23.8,32.4,27.8,87,3.4,4.5,3,305,0,C,,,
23-12-2024,23.8,33.4,27.2,90,1,8,3,35,1,C,,,
24-12-2024,23,32.4,27.7,85,8888,5.3,2,300,1,C,,,
25-12-2024,25.8,29,27.1,93,0.3,2.9,1,60,0,C,,,
26-12-2024,24,30.2,26.9,90,0,0,2,86,0,C,,,
27-12-2024,24,32.2,27.7,86,0,0,2,20,1,C,,,
28-12-2024,25.2,29.2,25.3,97,9.3,6.2,2,242,0,C,,,
29-12-2024,23,30.2,26,86,5.9,0,2,240,0,C,,,
30-12-2024,23.4,32,27.7,87,0,1.3,3,10,1,C,,,
31-12-2024,23.6,32.6,27.6,86,5,3.1,3,280,1,C,,,